MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Nova Cantu,"1.381,00","2.486,00",76.06,53.24,13.69,3.88,2.78,1.14,0.76,0.4,0.08,0.04,0.04,97,-24.6723,-52.5661
Nova Castilho,"423,00","1.149,00",30.05,21.03,5.41,1.53,1.1,0.45,0.3,0.16,0.03,0.02,0.02,40,-20.7615,-50.3477
Nova Colinas,"330,00","498,00",16.94,11.86,3.05,0.86,0.62,0.25,0.17,0.09,0.02,0.01,0.01,19,-7.12263,-46.2607
Nova Crixás,"2.065,00","4.522,00",135.25,94.67,24.34,6.9,4.94,2.03,1.35,0.72,0.15,0.07,0.07,185,-14.0957,-50.33
Nova Cruz,"3.123,00","7.892,00",207.2,145.04,37.3,10.57,7.56,3.11,2.07,1.1,0.23,0.11,0.11,205,-6.47511,-35.4286
Nova Era,"1.529,00","3.732,00",99.21,69.45,17.86,5.06,3.62,1.49,0.99,0.53,0.11,0.05,0.05,179,-19.7577,-43.0333
Nova Erechim,"2.996,00","6.551,00",178.94,125.26,32.21,9.13,6.53,2.68,1.79,0.95,0.2,0.09,0.09,113,-26.8982,-52.9066
Nova Esperança,"10.450,00","20.470,00",596.63,417.64,107.39,30.43,21.78,8.95,5.97,3.16,0.66,0.32,0.32,705,-23.182,-52.2031
Nova Esperança do Piriá,"682,00","1.044,00",35.41,24.79,6.37,1.81,1.29,0.53,0.35,0.19,0.04,0.02,0.02,33,-2.26693,-46.9731
Nova Esperança do Sudoeste,"2.374,00","3.854,00",126.41,88.49,22.75,6.45,4.61,1.9,1.26,0.67,0.14,0.07,0.07,183,-25.9004,-53.2618
Nova Esperança do Sul,"1.407,00","2.808,00",81.88,57.32,14.74,4.18,2.99,1.23,0.82,0.43,0.09,0.04,0.04,235,-29.4066,-54.8293
Nova Europa,"851,00","1.641,00",48.55,33.98,8.74,2.48,1.77,0.73,0.49,0.26,0.05,0.03,0.03,109,-21.7765,-48.5705
Nova Floresta,"256,00","653,00",16.72,11.71,3.01,0.85,0.61,0.25,0.17,0.09,0.02,0.01,0.01,28,-6.45056,-36.2057
Nova Friburgo,"27.280,00","49.232,00",1510.47,1057.33,271.88,77.03,55.13,22.66,15.1,8.01,1.66,0.8,0.8,2729,-22.2932,-42.5377
Nova Fátima,"1.837,00","3.763,00",108.86,76.2,19.6,5.55,3.97,1.63,1.09,0.58,0.12,0.06,0.06,104,-11.6031,-39.6302
Nova Glória,"1.205,00","1.873,00",62.2,43.54,11.2,3.17,2.27,0.93,0.62,0.33,0.07,0.03,0.03,85,-15.145,-49.5737
Nova Granada,"4.085,00","7.381,00",224.65,157.26,40.44,11.46,8.2,3.37,2.25,1.19,0.25,0.12,0.12,482,-20.5321,-49.3123
Nova Guarita,"2.442,00","5.104,00",140.18,98.12,25.23,7.15,5.12,2.1,1.4,0.74,0.15,0.07,0.07,191,-10.312,-55.4061
Nova Guataporanga,"443,00","711,00",22.85,15.99,4.11,1.17,0.83,0.34,0.23,0.12,0.03,0.01,0.01,65,-21.332,-51.6447
Nova Hartz,"5.979,00","13.285,00",364.24,254.97,65.56,18.58,13.29,5.46,3.64,1.93,0.4,0.19,0.19,687,-29.5808,-50.9051
Nova Ibiá,"204,00","293,00",10.17,7.12,1.83,0.52,0.37,0.15,0.1,0.05,0.01,0.01,0.01,10,-13.812,-39.6182
Nova Iguaçu,"19.599,00","36.714,00",1097.14,768.0,197.48,55.95,40.05,16.46,10.97,5.81,1.21,0.58,0.58,1928,-22.7556,-43.4603
Nova Iguaçu de Goiás,"461,00","856,00",26.36,18.45,4.74,1.34,0.96,0.4,0.26,0.14,0.03,0.01,0.01,45,-14.2868,-49.3872
Nova Independência,"439,00","831,00",24.55,17.18,4.42,1.25,0.9,0.37,0.25,0.13,0.03,0.01,0.01,61,-21.1026,-51.4905
Nova Iorque,"223,00","402,00",11.95,8.36,2.15,0.61,0.44,0.18,0.12,0.06,0.01,0.01,0.01,24,-6.73047,-44.0471
Nova Ipixuna,"1.170,00","1.834,00",61.23,42.86,11.02,3.12,2.24,0.92,0.61,0.32,0.07,0.03,0.03,106,-4.91622,-49.0822
Nova Itaberaba,"1.559,00","3.617,00",95.53,66.87,17.19,4.87,3.49,1.43,0.96,0.51,0.11,0.05,0.05,99,-26.9428,-52.8141
Nova Itarana,"169,00","265,00",8.88,6.22,1.6,0.45,0.32,0.13,0.09,0.05,0.01,0.0,0.0,16,-13.0241,-40.0653
Nova Lacerda,"3.831,00","6.469,00",207.24,145.07,37.3,10.57,7.56,3.11,2.07,1.1,0.23,0.11,0.11,175,-14.4727,-59.6001
