MUNICIPIO,POTÊNCIA,N_MOD,PESO_TOTAL,VIDRO,ALUMÍNIO,EVA,SILÍCIO,POLÍMERO,CABOS (Cu e Polimeros),CONDUTOR AL (Interno),CONDUTOR CU (Interno),CHUMBO E ESTANHO,PRATA,SISTEMAS,LATITUDE,LONGITUDE
Porto dos Gaúchos,"4.947,00","12.889,00",337.09,235.96,60.68,17.19,12.3,5.06,3.37,1.79,0.37,0.18,0.18,180,-11.533,-57.4132
Portão,"8.772,00","17.757,00",511.88,358.32,92.14,26.11,18.68,7.68,5.12,2.71,0.56,0.27,0.27,1055,-29.7015,-51.2429
Posse,"3.401,00","8.350,00",223.82,156.67,40.29,11.41,8.17,3.36,2.24,1.19,0.25,0.12,0.12,229,-14.0859,-46.3704
Potengi,"207,00","322,00",10.88,7.62,1.96,0.56,0.4,0.16,0.11,0.06,0.01,0.01,0.01,25,-7.09154,-40.0233
Potim,"189,00","333,00",10.34,7.24,1.86,0.53,0.38,0.16,0.1,0.05,0.01,0.01,0.01,30,-22.8343,-45.2552
Potiraguá,"217,00","423,00",12.34,8.64,2.22,0.63,0.45,0.19,0.12,0.07,0.01,0.01,0.01,25,-15.5943,-39.8638
Potirendaba,"3.288,00","5.648,00",178.52,124.96,32.13,9.1,6.52,2.68,1.79,0.95,0.2,0.09,0.09,311,-21.0428,-49.3815
Potiretama,"173,00","334,00",9.87,6.91,1.78,0.5,0.36,0.15,0.1,0.05,0.01,0.01,0.01,20,-5.71287,-38.1578
Poté,"743,00","1.800,00",47.33,33.13,8.52,2.41,1.73,0.71,0.47,0.25,0.05,0.03,0.03,83,-17.8077,-41.786
Pouso Alegre,"16.036,00","36.570,00",989.81,692.87,178.17,50.48,36.13,14.85,9.9,5.25,1.09,0.52,0.52,2052,-22.2266,-45.9389
Pouso Alto,"1.223,00","2.593,00",69.89,48.92,12.58,3.56,2.55,1.05,0.7,0.37,0.08,0.04,0.04,79,-22.1964,-44.9748
Pouso Novo,"725,00","1.469,00",41.62,29.14,7.49,2.12,1.52,0.62,0.42,0.22,0.05,0.02,0.02,33,-29.1738,-52.2136
Pouso Redondo,"749,00","1.573,00",43.29,30.3,7.79,2.21,1.58,0.65,0.43,0.23,0.05,0.02,0.02,65,-27.2567,-49.9301
Poxoréu,"8.976,00","15.010,00",478.03,334.62,86.04,24.38,17.45,7.17,4.78,2.53,0.53,0.25,0.25,287,-15.8299,-54.4208
Poá,"2.511,00","4.241,00",133.89,93.73,24.1,6.83,4.89,2.01,1.34,0.71,0.15,0.07,0.07,241,-23.5333,-46.3473
Poço Branco,"831,00","1.456,00",45.38,31.76,8.17,2.31,1.66,0.68,0.45,0.24,0.05,0.02,0.02,40,-5.62233,-35.6635
Poço Dantas,"113,00","197,00",6.26,4.39,1.13,0.32,0.23,0.09,0.06,0.03,0.01,0.0,0.0,10,-6.39876,-38.4909
Poço Fundo,"3.163,00","7.840,00",198.12,138.69,35.66,10.1,7.23,2.97,1.98,1.05,0.22,0.11,0.11,348,-21.78,-45.9658
Poço Redondo,"701,00","1.199,00",37.38,26.16,6.73,1.91,1.36,0.56,0.37,0.2,0.04,0.02,0.02,56,-9.80616,-37.6833
Poço Verde,"281,00","450,00",14.86,10.4,2.67,0.76,0.54,0.22,0.15,0.08,0.02,0.01,0.01,32,-10.7151,-38.1813
Poço das Antas,"1.122,00","2.639,00",69.88,48.92,12.58,3.56,2.55,1.05,0.7,0.37,0.08,0.04,0.04,87,-29.4481,-51.6719
Poço das Trincheiras,"280,00","426,00",14.52,10.16,2.61,0.74,0.53,0.22,0.15,0.08,0.02,0.01,0.01,47,-9.30742,-37.2889
Poço de José de Moura,"180,00","313,00",9.68,6.78,1.74,0.49,0.35,0.15,0.1,0.05,0.01,0.01,0.01,30,-6.56401,-38.5111
Poços de Caldas,"13.424,00","36.265,00",935.55,654.88,168.4,47.71,34.15,14.03,9.36,4.96,1.03,0.5,0.5,1319,-21.78,-46.5692
Poção,"347,00","534,00",17.82,12.47,3.21,0.91,0.65,0.27,0.18,0.09,0.02,0.01,0.01,21,-8.18726,-36.7111
Poção de Pedras,"584,00","1.026,00",31.98,22.39,5.76,1.63,1.17,0.48,0.32,0.17,0.04,0.02,0.02,72,-4.74626,-44.9432
Poções,"2.146,00","5.367,00",136.69,95.69,24.6,6.97,4.99,2.05,1.37,0.72,0.15,0.07,0.07,300,-14.5234,-40.3634
Pracinha,"114,00","183,00",5.84,4.09,1.05,0.3,0.21,0.09,0.06,0.03,0.01,0.0,0.0,17,-21.8496,-51.0868
Prado,"5.114,00","8.788,00",277.76,194.43,50.0,14.17,10.14,4.17,2.78,1.47,0.31,0.15,0.15,420,-17.3364,-39.2227
Prado Ferreira,"646,00","1.017,00",33.65,23.55,6.06,1.72,1.23,0.5,0.34,0.18,0.04,0.02,0.02,52,-23.0357,-51.4429
Prados,"1.214,00","2.171,00",66.3,46.41,11.93,3.38,2.42,0.99,0.66,0.35,0.07,0.04,0.04,131,-21.0597,-44.0778
Pradópolis,"2.769,00","5.097,00",154.14,107.9,27.75,7.86,5.63,2.31,1.54,0.82,0.17,0.08,0.08,408,-21.3626,-48.0679
Praia Grande,"5.576,00","10.707,00",316.55,221.59,56.98,16.14,11.55,4.75,3.17,1.68,0.35,0.17,0.17,578,-29.1918,-49.9525
Praia Norte,"218,00","383,00",11.76,8.23,2.12,0.6,0.43,0.18,0.12,0.06,0.01,0.01,0.01,33,-5.39281,-47.8111
Prainha,"791,00","1.323,00",42.3,29.61,7.61,2.16,1.54,0.63,0.42,0.22,0.05,0.02,0.02,82,-1.798,-53.4779
Pranchita,"2.923,00","5.093,00",158.62,111.03,28.55,8.09,5.79,2.38,1.59,0.84,0.17,0.08,0.08,216,-26.0209,-53.7397
Prata,"1.752,00","5.520,00",126.61,88.63,22.79,6.46,4.62,1.9,1.27,0.67,0.14,0.07,0.07,137,-19.3086,-48.9276
Prata do Piauí,"99,00","162,00",5.31,3.71,0.96,0.27,0.19,0.08,0.05,0.03,0.01,0.0,0.0,18,-5.67265,-42.2046
Pratinha,"750,00","1.233,00",39.42,27.6,7.1,2.01,1.44,0.59,0.39,0.21,0.04,0.02,0.02,59,-19.739,-46.3755
Pratápolis,"4.524,00","10.409,00",262.67,183.87,47.28,13.4,9.59,3.94,2.63,1.39,0.29,0.14,0.14,259,-20.7411,-46.8624
Pratânia,"849,00","1.556,00",48.33,33.83,8.7,2.46,1.76,0.72,0.48,0.26,0.05,0.03,0.03,72,-22.8112,-48.6636
Presidente Alves,"3.960,00","15.038,00",337.73,236.41,60.79,17.22,12.33,5.07,3.38,1.79,0.37,0.18,0.18,151,-22.0999,-49.4381
Presidente Bernardes,"6.816,00","11.593,00",367.23,257.06,66.1,18.73,13.4,5.51,3.67,1.95,0.4,0.19,0.19,440,-20.7656,-43.1895
Presidente Castello Branco,"738,00","1.532,00",42.25,29.57,7.6,2.15,1.54,0.63,0.42,0.22,0.05,0.02,0.02,50,-27.2218,-51.8089
Presidente Castelo Branco,"2.166,00","3.850,00",118.25,82.77,21.28,6.03,4.32,1.77,1.18,0.63,0.13,0.06,0.06,99,-23.2782,-52.1536
Presidente Dutra,"6.307,00","12.029,00",358.64,251.05,64.56,18.29,13.09,5.38,3.59,1.9,0.39,0.19,0.19,550,-11.2923,-41.9843
Presidente Epitácio,"11.676,00","21.741,00",659.16,461.41,118.65,33.62,24.06,9.89,6.59,3.49,0.73,0.35,0.35,1370,-21.7651,-52.1111
Presidente Figueiredo,"328,00","521,00",16.84,11.79,3.03,0.86,0.61,0.25,0.17,0.09,0.02,0.01,0.01,23,-2.02981,-60.0234
Presidente Getúlio,"2.211,00","6.048,00",146.24,102.37,26.32,7.46,5.34,2.19,1.46,0.78,0.16,0.08,0.08,172,-27.0474,-49.6246
Presidente Juscelino,"1.197,00","2.127,00",65.31,45.72,11.76,3.33,2.38,0.98,0.65,0.35,0.07,0.03,0.03,68,-2.91872,-44.0715
Presidente Jânio Quadros,"239,00","377,00",12.7,8.89,2.29,0.65,0.46,0.19,0.13,0.07,0.01,0.01,0.01,23,-14.6885,-41.6798
Presidente Kennedy,"1.078,00","2.273,00",63.7,44.59,11.47,3.25,2.32,0.96,0.64,0.34,0.07,0.03,0.03,96,-21.0964,-41.0468
Presidente Kubitschek,"160,00","260,00",8.32,5.82,1.5,0.42,0.3,0.12,0.08,0.04,0.01,0.0,0.0,14,-18.6193,-43.5628
Presidente Lucena,"1.958,00","4.092,00",116.84,81.79,21.03,5.96,4.26,1.75,1.17,0.62,0.13,0.06,0.06,207,-29.5175,-51.1798
Presidente Médici,"3.335,00","5.699,00",177.48,124.24,31.95,9.05,6.48,2.66,1.77,0.94,0.2,0.09,0.09,373,-11.169,-61.8986
Presidente Nereu,"193,00","554,00",12.91,9.03,2.32,0.66,0.47,0.19,0.13,0.07,0.01,0.01,0.01,25,-27.2768,-49.3889
Presidente Olegário,"7.404,00","14.001,00",416.45,291.51,74.96,21.24,15.2,6.25,4.16,2.21,0.46,0.22,0.22,364,-18.4096,-46.4165
Presidente Prudente,"61.255,00","131.748,00",3645.71,2552.0,656.23,185.93,133.07,54.69,36.46,19.32,4.01,1.93,1.93,8405,-22.1207,-51.3925
Presidente Sarney,"118,00","179,00",6.2,4.34,1.12,0.32,0.23,0.09,0.06,0.03,0.01,0.0,0.0,11,-2.58799,-45.3595
Presidente Tancredo Neves,"690,00","1.647,00",44.32,31.02,7.98,2.26,1.62,0.66,0.44,0.23,0.05,0.02,0.02,63,-13.4471,-39.4203
Presidente Vargas,"70,00","105,00",3.51,2.46,0.63,0.18,0.13,0.05,0.04,0.02,0.0,0.0,0.0,6,-3.40787,-44.0234
Presidente Venceslau,"11.873,00","25.290,00",710.17,497.12,127.83,36.22,25.92,10.65,7.1,3.76,0.78,0.38,0.38,1667,-21.8732,-51.8447
Primavera,"596,00","930,00",30.63,21.44,5.51,1.56,1.12,0.46,0.31,0.16,0.03,0.02,0.02,57,-0.945439,-47.1253
Primavera de Rondônia,"331,00","561,00",17.66,12.36,3.18,0.9,0.64,0.26,0.18,0.09,0.02,0.01,0.01,35,-11.8295,-61.3153
Primavera do Leste,"44.203,00","90.088,00",2568.28,1797.79,462.29,130.98,93.74,38.52,25.68,13.61,2.83,1.36,1.36,2371,-15.544,-54.2811
Primeira Cruz,"85,00","134,00",4.45,3.11,0.8,0.23,0.16,0.07,0.04,0.02,0.0,0.0,0.0,7,-2.50568,-43.4232
Primeiro de Maio,"4.868,00","10.335,00",289.88,202.92,52.18,14.78,10.58,4.35,2.9,1.54,0.32,0.15,0.15,468,-22.8517,-51.0293
Princesa,"444,00","830,00",23.52,16.46,4.23,1.2,0.86,0.35,0.24,0.12,0.03,0.01,0.01,43,-26.4441,-53.5994
Princesa Isabel,"2.161,00","4.632,00",127.62,89.33,22.97,6.51,4.66,1.91,1.28,0.68,0.14,0.07,0.07,163,-7.73175,-37.9886
Professor Jamil,"574,00","862,00",29.64,20.74,5.33,1.51,1.08,0.44,0.3,0.16,0.03,0.02,0.02,33,-17.2497,-49.244
Progresso,"1.548,00","2.585,00",82.74,57.92,14.89,4.22,3.02,1.24,0.83,0.44,0.09,0.04,0.04,102,-29.2441,-52.3197
Promissão,"4.045,00","7.112,00",218.94,153.26,39.41,11.17,7.99,3.28,2.19,1.16,0.24,0.12,0.12,583,-21.5356,-49.8599
Propriá,"1.351,00","2.172,00",70.94,49.66,12.77,3.62,2.59,1.06,0.71,0.38,0.08,0.04,0.04,99,-10.2138,-36.8442
Protásio Alves,"2.279,00","4.347,00",129.58,90.7,23.32,6.61,4.73,1.94,1.3,0.69,0.14,0.07,0.07,147,-28.7572,-51.4757
Prudente de Morais,"6.024,00","9.641,00",324.72,227.3,58.45,16.56,11.85,4.87,3.25,1.72,0.36,0.17,0.17,96,-19.4742,-44.1591
Prudentópolis,"6.093,00","12.241,00",353.14,247.2,63.56,18.01,12.89,5.3,3.53,1.87,0.39,0.19,0.19,444,-25.2111,-50.9754
Pugmil,"656,00","1.114,00",34.88,24.41,6.28,1.78,1.27,0.52,0.35,0.18,0.04,0.02,0.02,29,-10.424,-48.8957
Pureza,"1.525,00","2.542,00",77.98,54.59,14.04,3.98,2.85,1.17,0.78,0.41,0.09,0.04,0.04,42,-5.46393,-35.5554
Putinga,"1.823,00","3.476,00",102.14,71.5,18.39,5.21,3.73,1.53,1.02,0.54,0.11,0.05,0.05,153,-29.0045,-52.1569
Puxinanã,"126,00","194,00",6.5,4.55,1.17,0.33,0.24,0.1,0.06,0.03,0.01,0.0,0.0,12,-7.15479,-35.9543
Pão de Açúcar,"826,00","1.230,00",42.4,29.68,7.63,2.16,1.55,0.64,0.42,0.22,0.05,0.02,0.02,103,-9.74032,-37.4403
Pé de Serra,"526,00","883,00",27.9,19.53,5.02,1.42,1.02,0.42,0.28,0.15,0.03,0.01,0.01,67,-11.8313,-39.611
Pérola,"3.261,00","5.910,00",179.7,125.79,32.35,9.16,6.56,2.7,1.8,0.95,0.2,0.1,0.1,365,-23.8039,-53.6834
Pérola D'Oeste,"2.761,00","4.470,00",144.92,101.44,26.09,7.39,5.29,2.17,1.45,0.77,0.16,0.08,0.08,310,-25.8278,-53.7433
Quadra,"1.167,00","1.908,00",61.25,42.87,11.02,3.12,2.24,0.92,0.61,0.32,0.07,0.03,0.03,63,-23.2993,-48.0547
Quaraí,"3.033,00","5.718,00",176.5,123.55,31.77,9.0,6.44,2.65,1.76,0.94,0.19,0.09,0.09,46,-30.384,-56.4483
Quartel Geral,"916,00","1.867,00",53.21,37.25,9.58,2.71,1.94,0.8,0.53,0.28,0.06,0.03,0.03,36,-19.2703,-45.5569
Quarto Centenário,"2.789,00","5.487,00",160.56,112.39,28.9,8.19,5.86,2.41,1.61,0.85,0.18,0.09,0.09,131,-24.2775,-53.0759
Quatiguá,"1.399,00","3.649,00",92.26,64.58,16.61,4.71,3.37,1.38,0.92,0.49,0.1,0.05,0.05,85,-23.5671,-49.916
Quatipuru,"81,00","171,00",4.75,3.32,0.85,0.24,0.17,0.07,0.05,0.03,0.01,0.0,0.0,13,-0.899604,-47.0134
Quatis,"824,00","1.323,00",43.28,30.3,7.79,2.21,1.58,0.65,0.43,0.23,0.05,0.02,0.02,73,-22.4045,-44.2597
Quatro Barras,"1.518,00","2.467,00",80.0,56.0,14.4,4.08,2.92,1.2,0.8,0.42,0.09,0.04,0.04,127,-25.3673,-49.0763
Quatro Irmãos,"757,00","1.269,00",40.05,28.04,7.21,2.04,1.46,0.6,0.4,0.21,0.04,0.02,0.02,64,-27.8257,-52.4424
Quatro Pontes,"8.536,00","17.271,00",498.03,348.62,89.65,25.4,18.18,7.47,4.98,2.64,0.55,0.26,0.26,469,-24.5752,-53.9759
Quatá,"2.867,00","5.224,00",158.68,111.08,28.56,8.09,5.79,2.38,1.59,0.84,0.17,0.08,0.08,219,-22.2456,-50.6966
Quebrangulo,"599,00","907,00",30.87,21.61,5.56,1.57,1.13,0.46,0.31,0.16,0.03,0.02,0.02,33,-9.32001,-36.4692
Quedas do Iguaçu,"7.069,00","13.964,00",405.94,284.16,73.07,20.7,14.82,6.09,4.06,2.15,0.45,0.22,0.22,467,-25.4492,-52.9102
Queimada Nova,"516,00","853,00",27.3,19.11,4.91,1.39,1.0,0.41,0.27,0.14,0.03,0.01,0.01,69,-8.57064,-41.4106
Queimadas,"7.172,00","19.372,00",570.47,399.33,102.69,29.09,20.82,8.56,5.7,3.02,0.63,0.3,0.3,266,-10.9736,-39.6293
Queimados,"5.131,00","10.788,00",303.67,212.57,54.66,15.49,11.08,4.56,3.04,1.61,0.33,0.16,0.16,276,-22.7102,-43.5518
Queiroz,"274,00","524,00",14.97,10.48,2.69,0.76,0.55,0.22,0.15,0.08,0.02,0.01,0.01,21,-21.7969,-50.2415
Queluz,"558,00","1.644,00",39.48,27.63,7.11,2.01,1.44,0.59,0.39,0.21,0.04,0.02,0.02,38,-22.5312,-44.7781
Queluzito,"397,00","693,00",21.68,15.17,3.9,1.11,0.79,0.33,0.22,0.11,0.02,0.01,0.01,31,-20.7416,-43.8851
Querência,"12.281,00","23.609,00",700.15,490.11,126.03,35.71,25.56,10.5,7.0,3.71,0.77,0.37,0.37,595,-12.6093,-52.1821
Querência do Norte,"2.136,00","4.568,00",126.54,88.58,22.78,6.45,4.62,1.9,1.27,0.67,0.14,0.07,0.07,218,-23.0838,-53.483
Quevedos,"485,00","1.002,00",28.32,19.82,5.1,1.44,1.03,0.42,0.28,0.15,0.03,0.02,0.02,51,-29.3504,-54.0789
Quijingue,"441,00","683,00",22.96,16.07,4.13,1.17,0.84,0.34,0.23,0.12,0.03,0.01,0.01,49,-10.7505,-39.2137
Quilombo,"1.861,00","5.282,00",127.64,89.35,22.98,6.51,4.66,1.91,1.28,0.68,0.14,0.07,0.07,205,-26.7264,-52.724
Quinta do Sol,"1.945,00","4.986,00",130.69,91.48,23.52,6.67,4.77,1.96,1.31,0.69,0.14,0.07,0.07,108,-23.8533,-52.1309
Quintana,"914,00","1.684,00",50.4,35.28,9.07,2.57,1.84,0.76,0.5,0.27,0.06,0.03,0.03,74,-22.0692,-50.307
Quinze de Novembro,"2.005,00","3.891,00",115.18,80.62,20.73,5.87,4.2,1.73,1.15,0.61,0.13,0.06,0.06,231,-28.7466,-53.1011
Quipapá,"597,00","1.065,00",32.65,22.86,5.88,1.67,1.19,0.49,0.33,0.17,0.04,0.02,0.02,59,-8.81175,-36.0137
Quirinópolis,"13.109,00","44.099,00",989.68,692.77,178.14,50.47,36.12,14.85,9.9,5.25,1.09,0.52,0.52,1116,-18.4472,-50.4547
Quissamã,"3.100,00","6.778,00",186.82,130.77,33.63,9.53,6.82,2.8,1.87,0.99,0.21,0.1,0.1,260,-22.1031,-41.4693
Quitandinha,"2.022,00","3.437,00",109.3,76.51,19.67,5.57,3.99,1.64,1.09,0.58,0.12,0.06,0.06,139,-25.8734,-49.4973
Quiterianópolis,"884,00","1.520,00",46.92,32.84,8.45,2.39,1.71,0.7,0.47,0.25,0.05,0.02,0.02,84,-5.8425,-40.7002
Quixaba,"171,00","460,00",10.94,7.66,1.97,0.56,0.4,0.16,0.11,0.06,0.01,0.01,0.01,17,-7.70734,-37.8446
Quixabeira,"124,00","205,00",6.61,4.63,1.19,0.34,0.24,0.1,0.07,0.04,0.01,0.0,0.0,11,-11.4031,-40.12
Quixabá,"289,00","519,00",15.94,11.16,2.87,0.81,0.58,0.24,0.16,0.08,0.02,0.01,0.01,36,-7.0224,-37.1458
Quixadá,"9.327,00","19.962,00",578.1,404.67,104.06,29.48,21.1,8.67,5.78,3.06,0.64,0.31,0.31,684,-4.9663,-39.0155
Quixelô,"1.421,00","2.665,00",79.04,55.33,14.23,4.03,2.89,1.19,0.79,0.42,0.09,0.04,0.04,153,-6.24637,-39.2011
Quixeramobim,"7.235,00","14.151,00",409.78,286.84,73.76,20.9,14.96,6.15,4.1,2.17,0.45,0.22,0.22,619,-5.19067,-39.2889
Quixeré,"5.542,00","9.933,00",311.16,217.81,56.01,15.87,11.36,4.67,3.11,1.65,0.34,0.16,0.16,227,-5.07148,-37.9802
Rafael Fernandes,"804,00","1.333,00",43.02,30.11,7.74,2.19,1.57,0.65,0.43,0.23,0.05,0.02,0.02,123,-6.18987,-38.2211
Rafael Godeiro,"175,00","323,00",9.65,6.76,1.74,0.49,0.35,0.14,0.1,0.05,0.01,0.01,0.01,30,-6.07244,-37.716
Rafael Jambeiro,"1.190,00","2.095,00",65.24,45.67,11.74,3.33,2.38,0.98,0.65,0.35,0.07,0.03,0.03,74,-12.4053,-39.5007
Rafard,"1.082,00","1.984,00",60.48,42.34,10.89,3.08,2.21,0.91,0.6,0.32,0.07,0.03,0.03,99,-23.0105,-47.5318
Ramilândia,"997,00","1.647,00",52.61,36.83,9.47,2.68,1.92,0.79,0.53,0.28,0.06,0.03,0.03,52,-25.1195,-54.023
Rancharia,"5.682,00","9.472,00",303.62,212.53,54.65,15.48,11.08,4.55,3.04,1.61,0.33,0.16,0.16,478,-22.2269,-50.893
Rancho Alegre,"969,00","2.191,00",59.14,41.4,10.64,3.02,2.16,0.89,0.59,0.31,0.07,0.03,0.03,103,-23.0676,-50.9145
Rancho Alegre D'Oeste,"1.409,00","2.436,00",74.78,52.34,13.46,3.81,2.73,1.12,0.75,0.4,0.08,0.04,0.04,105,-24.3065,-52.9552
Rancho Queimado,"651,00","1.632,00",40.97,28.68,7.37,2.09,1.5,0.61,0.41,0.22,0.05,0.02,0.02,61,-27.6727,-49.0191
Raposa,"2.564,00","4.834,00",145.26,101.68,26.15,7.41,5.3,2.18,1.45,0.77,0.16,0.08,0.08,212,-2.4254,-44.0973
Raposos,"208,00","350,00",11.28,7.9,2.03,0.58,0.41,0.17,0.11,0.06,0.01,0.01,0.01,29,-19.9636,-43.8079
Raul Soares,"7.064,00","17.423,00",439.61,307.73,79.13,22.42,16.05,6.59,4.4,2.33,0.48,0.23,0.23,482,-20.1061,-42.4502
Realeza,"8.823,00","17.690,00",510.27,357.19,91.85,26.02,18.62,7.65,5.1,2.7,0.56,0.27,0.27,795,-25.7711,-53.526
Rebouças,"2.309,00","3.832,00",124.27,86.99,22.37,6.34,4.54,1.86,1.24,0.66,0.14,0.07,0.07,178,-25.6232,-50.6877
Recife,"68.710,00","124.200,00",3801.22,2660.85,684.22,193.86,138.74,57.02,38.01,20.15,4.18,2.01,2.01,6711,-8.04666,-34.8771
Recreio,"1.532,00","3.083,00",88.22,61.75,15.88,4.5,3.22,1.32,0.88,0.47,0.1,0.05,0.05,215,-21.5289,-42.4676
Recursolândia,"101,00","154,00",5.06,3.54,0.91,0.26,0.18,0.08,0.05,0.03,0.01,0.0,0.0,10,-8.7227,-47.2421
Redentora,"1.202,00","2.159,00",65.96,46.17,11.87,3.36,2.41,0.99,0.66,0.35,0.07,0.03,0.03,142,-27.664,-53.6407
Redenção,"30.557,00","94.190,00",2324.33,1627.03,418.38,118.54,84.84,34.86,23.24,12.32,2.56,1.23,1.23,2499,-4.21587,-38.7277
Redenção da Serra,"139,00","304,00",8.38,5.86,1.51,0.43,0.31,0.13,0.08,0.04,0.01,0.0,0.0,18,-23.2638,-45.5422
Redenção do Gurguéia,"192,00","347,00",10.62,7.43,1.91,0.54,0.39,0.16,0.11,0.06,0.01,0.01,0.01,23,-9.47937,-44.5811
Reduto,"678,00","1.402,00",39.57,27.7,7.12,2.02,1.44,0.59,0.4,0.21,0.04,0.02,0.02,70,-20.2401,-41.9848
Regeneração,"1.008,00","1.738,00",54.62,38.24,9.83,2.79,1.99,0.82,0.55,0.29,0.06,0.03,0.03,87,-6.23115,-42.6842
Regente Feijó,"5.645,00","11.895,00",333.0,233.1,59.94,16.98,12.15,5.0,3.33,1.76,0.37,0.18,0.18,616,-22.2181,-51.3055
Reginópolis,"783,00","1.426,00",44.01,30.8,7.92,2.24,1.61,0.66,0.44,0.23,0.05,0.02,0.02,113,-21.8914,-49.2268
Registro,"2.666,00","4.697,00",146.73,102.71,26.41,7.48,5.36,2.2,1.47,0.78,0.16,0.08,0.08,283,-24.4979,-47.8449
Relvado,"1.070,00","2.703,00",69.61,48.72,12.53,3.55,2.54,1.04,0.7,0.37,0.08,0.04,0.04,79,-29.1164,-52.0778
Remanso,"3.022,00","6.002,00",174.09,121.86,31.34,8.88,6.35,2.61,1.74,0.92,0.19,0.09,0.09,388,-9.61944,-42.0848
Remígio,"503,00","941,00",27.0,18.9,4.86,1.38,0.99,0.41,0.27,0.14,0.03,0.01,0.01,44,-6.94992,-35.8011
Renascença,"3.376,00","6.420,00",191.27,133.89,34.43,9.75,6.98,2.87,1.91,1.01,0.21,0.1,0.1,202,-26.1588,-52.9703
Reriutaba,"1.239,00","1.935,00",64.96,45.47,11.69,3.31,2.37,0.97,0.65,0.34,0.07,0.03,0.03,149,-4.14191,-40.5759
Resende,"10.945,00","29.210,00",752.42,526.69,135.44,38.37,27.46,11.29,7.52,3.99,0.83,0.4,0.4,1392,-22.4705,-44.4509
Resende Costa,"1.745,00","3.777,00",104.17,72.92,18.75,5.31,3.8,1.56,1.04,0.55,0.11,0.06,0.06,270,-20.9171,-44.2407
Reserva,"1.756,00","3.598,00",101.53,71.07,18.28,5.18,3.71,1.52,1.02,0.54,0.11,0.05,0.05,90,-24.6492,-50.8466
Reserva do Cabaçal,"390,00","676,00",20.97,14.68,3.77,1.07,0.77,0.31,0.21,0.11,0.02,0.01,0.01,56,-15.0743,-58.4585
Reserva do Iguaçu,"1.097,00","1.877,00",59.48,41.64,10.71,3.03,2.17,0.89,0.59,0.32,0.07,0.03,0.03,54,-25.8319,-52.0272
Resplendor,"4.460,00","8.811,00",256.27,179.39,46.13,13.07,9.35,3.84,2.56,1.36,0.28,0.14,0.14,530,-19.3194,-41.2462
Ressaquinha,"739,00","1.323,00",39.89,27.93,7.18,2.03,1.46,0.6,0.4,0.21,0.04,0.02,0.02,42,-21.0642,-43.7598
Restinga,"2.065,00","3.697,00",114.55,80.18,20.62,5.84,4.18,1.72,1.15,0.61,0.13,0.06,0.06,79,-20.6056,-47.4833
Restinga Seca,"4.271,00","7.714,00",233.2,163.24,41.98,11.89,8.51,3.5,2.33,1.24,0.26,0.12,0.12,314,-29.8188,-53.3807
Retirolândia,"698,00","1.161,00",37.75,26.42,6.79,1.93,1.38,0.57,0.38,0.2,0.04,0.02,0.02,84,-11.4832,-39.4234
Riachinho,"1.907,00","3.308,00",99.5,69.65,17.91,5.07,3.63,1.49,1.0,0.53,0.11,0.05,0.05,79,-16.2258,-45.9888
Riacho Frio,"70,00","101,00",3.51,2.46,0.63,0.18,0.13,0.05,0.04,0.02,0.0,0.0,0.0,5,-10.1244,-44.9503
Riacho da Cruz,"348,00","551,00",18.21,12.75,3.28,0.93,0.66,0.27,0.18,0.1,0.02,0.01,0.01,42,-5.92654,-37.949
Riacho das Almas,"3.489,00","6.095,00",188.57,132.0,33.94,9.62,6.88,2.83,1.89,1.0,0.21,0.1,0.1,219,-8.13742,-35.8648
Riacho de Santana,"2.307,00","4.119,00",127.08,88.95,22.87,6.48,4.64,1.91,1.27,0.67,0.14,0.07,0.07,326,-13.6059,-42.9397
Riacho de Santo Antônio,"18,00","26,00",0.91,0.64,0.16,0.05,0.03,0.01,0.01,0.0,0.0,0.0,0.0,2,-7.68023,-36.157
Riacho dos Cavalos,"452,00","948,00",26.12,18.28,4.7,1.33,0.95,0.39,0.26,0.14,0.03,0.01,0.01,46,-6.44067,-37.6483
Riacho dos Machados,"309,00","456,00",15.64,10.94,2.81,0.8,0.57,0.23,0.16,0.08,0.02,0.01,0.01,31,-16.0091,-43.0488
Riachuelo,"636,00","1.075,00",34.13,23.89,6.14,1.74,1.25,0.51,0.34,0.18,0.04,0.02,0.02,35,-5.82156,-35.8215
Riachão,"2.640,00","4.163,00",135.96,95.17,24.47,6.93,4.96,2.04,1.36,0.72,0.15,0.07,0.07,93,-7.35819,-46.6225
Riachão das Neves,"3.232,00","5.244,00",174.6,122.22,31.43,8.9,6.37,2.62,1.75,0.93,0.19,0.09,0.09,246,-11.7508,-44.9143
Riachão do Bacamarte,"106,00","166,00",5.4,3.78,0.97,0.28,0.2,0.08,0.05,0.03,0.01,0.0,0.0,11,-7.25347,-35.6693
Riachão do Dantas,"122,00","190,00",6.32,4.42,1.14,0.32,0.23,0.09,0.06,0.03,0.01,0.0,0.0,21,-11.0729,-37.731
Riachão do Jacuípe,"2.559,00","5.850,00",158.05,110.63,28.45,8.06,5.77,2.37,1.58,0.84,0.17,0.08,0.08,283,-11.8067,-39.3818
Riachão do Poço,"360,00","627,00",18.71,13.1,3.37,0.95,0.68,0.28,0.19,0.1,0.02,0.01,0.01,11,-7.14173,-35.2914
